"DateTime","temperature","dewpoint","humidity"
"2025-02-25 05:55:00",39.02,26.98,62.05
"2025-02-25 06:55:00",38.66,24.62,57.11
"2025-02-25 07:55:00",37.04,25,61.78
"2025-02-25 08:55:00",41.72,25.14,51.86
"2025-02-25 09:55:00",41.54,24.06,49.92
"2025-02-25 10:55:00",42.8,24.76,49
"2025-02-25 11:55:00",42.62,26.04,52
"2025-02-25 12:55:00",43.34,25.68,49.83
"2025-02-25 13:55:00",44.42,25.32,47.11
"2025-02-25 14:55:00",44.42,24.76,46.06
"2025-02-25 15:55:00",45.14,24.22,43.82
"2025-02-25 16:55:00",42.44,22.96,46.08
"2025-02-25 17:55:00",41.9,23.86,48.86
"2025-02-25 18:55:00",41,23.52,49.83
"2025-02-25 19:55:00",39.38,24.44,55.11
"2025-02-25 20:55:00",38.48,23.52,54.97
"2025-02-25 21:55:00",36.32,23.18,58.95
"2025-02-25 22:55:00",37.04,24.64,60.86
"2025-02-25 23:55:00",36.5,24.1,60.78
"2025-02-26 00:55:00",37.04,24.26,59.95
"2025-02-26 01:55:00",35.96,24.82,63.99
"2025-02-26 02:55:00",35.96,24.82,63.99
"2025-02-26 03:55:00",36.14,25,64.01
"2025-02-26 04:55:00",34.34,24.3,66.73
"2025-02-26 05:55:00",34.34,24.66,67.74
"2025-02-26 06:55:00",32.36,24.49,72.79
"2025-02-26 07:55:00",34.52,25.57,69.82
"2025-02-26 08:55:00",40.1,26.78,59.05
"2025-02-26 09:55:00",43.88,25.68,48.81
"2025-02-26 10:55:00",45.32,25.48,45.86
"2025-02-26 11:55:00",47.12,24.94,41.89
"2025-02-26 12:55:00",48.92,24.76,38.87
"2025-02-26 13:55:00",49.82,24.94,37.87
"2025-02-26 14:55:00",50.18,24.76,37.09
"2025-02-26 15:55:00",50,23.86,35.96
"2025-02-26 16:55:00",48.56,25.12,39.99
"2025-02-26 17:55:00",44.78,24.58,45.09
"2025-02-26 18:55:00",43.52,22.78,43.87
"2025-02-26 19:55:00",37.58,24.44,59.13
"2025-02-26 20:55:00",40.1,22.78,50.06
"2025-02-26 21:55:00",42.62,22.06,44.06
"2025-02-26 22:55:00",41.54,23.5,48.8
"2025-02-26 23:55:00",39.92,24.42,53.96
"2025-02-27 00:55:00",42.44,22.96,46.08
"2025-02-27 01:55:00",41.36,20.79,43.84
"2025-02-27 02:55:00",40.46,22.06,47.89
"2025-02-27 03:55:00",39.38,22.62,51.1
"2025-02-27 04:55:00",40.46,21.16,46.1
"2025-02-27 05:55:00",40.64,20.25,44.06
"2025-02-27 06:55:00",43.7,19.51,37.97
"2025-02-27 07:55:00",45.68,20.07,36.04
"2025-02-27 08:55:00",46.22,18.43,32.94
"2025-02-27 09:55:00",51.44,18.28,26.9
"2025-02-27 10:55:00",51.98,16.11,24.01
"2025-02-27 11:55:00",55.94,14,18.91
"2025-02-27 12:55:00",57.02,16.16,19.99
"2025-02-27 13:55:00",57.56,17.78,21.03
"2025-02-27 14:55:00",59.54,17.1,18.99
"2025-02-27 15:55:00",57.38,18.68,22
"2025-02-27 16:55:00",56.3,18.84,23.05
"2025-02-27 17:55:00",52.88,20.44,27.98
"2025-02-27 18:55:00",52.16,19.72,27.86
"2025-02-27 19:55:00",51.44,20.07,29.05
"2025-02-27 20:55:00",50.18,21.15,31.87
"2025-02-27 21:55:00",49.46,21.33,32.99
"2025-02-27 22:55:00",50.54,21.51,31.93
"2025-02-27 23:55:00",49.82,21.69,33.05
"2025-02-28 00:55:00",48.38,21.69,34.87
"2025-02-28 01:55:00",48.74,21.33,33.89
"2025-02-28 02:55:00",43.7,22.42,42.92
"2025-02-28 03:55:00",40.28,22.96,50.09
"2025-02-28 04:55:00",39.38,23.52,53.07
